datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-02T17:43:00+02:00;10273_D;73;10;57;freeFlow;1
2025-07-02T17:43:00+02:00;10273_G;71;10;60;freeFlow;1
2025-07-02T17:43:00+02:00;10274_D;73;9;57;freeFlow;1
2025-07-02T17:43:00+02:00;10274_G;71;9;60;freeFlow;1
2025-07-02T17:43:00+02:00;10275_D;73;14;57;freeFlow;1
2025-07-02T17:43:00+02:00;10275_G;62;16;57;freeFlow;1
2025-07-02T17:43:00+02:00;10277_D;75;21;73;freeFlow;2
2025-07-02T17:43:00+02:00;10277_G;58;26;74;freeFlow;2
2025-07-02T17:43:00+02:00;10279_D;71;14;73;freeFlow;2
2025-07-02T17:43:00+02:00;10279_G;56;18;60;freeFlow;1
2025-07-02T17:43:00+02:00;10281_D;69;20;73;freeFlow;2
2025-07-02T17:43:00+02:00;10281_G;56;25;60;freeFlow;1
2025-07-02T17:43:00+02:00;10315_D;73;8;57;freeFlow;1
2025-07-02T17:43:00+02:00;10315_G;71;8;60;freeFlow;1
2025-07-02T17:43:00+02:00;11579_D;88;3;48;freeFlow;1
2025-07-02T17:43:00+02:00;11579_G;67;4;45;freeFlow;1
2025-07-02T17:43:00+02:00;11652;68;20;100;freeFlow;5
2025-07-02T17:43:00+02:00;11654;43;3;100;heavy;3
2025-07-02T17:43:00+02:00;11777_D;15;5;75;congested;2
2025-07-02T17:43:00+02:00;11777_G;63;1;100;freeFlow;3
2025-07-02T17:43:00+02:00;11781_D;4;22;70;congested;2
2025-07-02T17:43:00+02:00;11781_G;6;14;60;congested;1
2025-07-02T17:43:00+02:00;11784_D;47;1;45;freeFlow;1
2025-07-02T17:43:00+02:00;11784_G;27;2;60;freeFlow;1
2025-07-02T17:43:00+02:00;11785_D;47;1;45;freeFlow;1
2025-07-02T17:43:00+02:00;11785_G;26;1;50;freeFlow;1
2025-07-02T17:43:00+02:00;12060_D;73;10;57;freeFlow;1
2025-07-02T17:43:00+02:00;12060_G;71;10;60;freeFlow;1
2025-07-02T17:43:00+02:00;1242_D;68;2;60;freeFlow;1
2025-07-02T17:43:00+02:00;1242_G;15;8;60;congested;1
2025-07-02T17:43:00+02:00;1285_D;68;1;60;freeFlow;1
2025-07-02T17:43:00+02:00;1285_G;45;1;60;heavy;1
2025-07-02T17:43:00+02:00;13514;34;6;100;heavy;5
2025-07-02T17:43:00+02:00;13515;38;4;100;heavy;5
2025-07-02T17:43:00+02:00;13516;63;2;40;freeFlow;1
2025-07-02T17:43:00+02:00;13549_D;53;7;60;heavy;1
2025-07-02T17:43:00+02:00;13549_G;54;7;100;heavy;5
2025-07-02T17:43:00+02:00;13557_D;44;8;60;heavy;1
2025-07-02T17:43:00+02:00;13557_G;42;9;100;heavy;5
2025-07-02T17:43:00+02:00;14364;110;19;100;freeFlow;3
2025-07-02T17:43:00+02:00;14365;109;19;100;freeFlow;3
2025-07-02T17:43:00+02:00;15029_D;19;126;100;congested;5
2025-07-02T17:43:00+02:00;15029_G;52;47;100;heavy;4
2025-07-02T17:43:00+02:00;15062;22;7;100;congested;4
2025-07-02T17:43:00+02:00;15063;9;15;100;congested;6
2025-07-02T17:43:00+02:00;15064;11;14;100;congested;6
2025-07-02T17:43:00+02:00;15065;51;4;75;heavy;2
2025-07-02T17:43:00+02:00;15066;31;4;100;heavy;4
2025-07-02T17:43:00+02:00;15067_D;75;56;60;freeFlow;1
2025-07-02T17:43:00+02:00;15067_G;56;77;100;heavy;5
2025-07-02T17:43:00+02:00;15104_D;86;46;55;freeFlow;1
