datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-02T14:03:00+02:00;10273_D;81;9;68;freeFlow;2
2025-07-02T14:03:00+02:00;10273_G;81;9;75;freeFlow;2
2025-07-02T14:03:00+02:00;10274_D;28;23;60;heavy;1
2025-07-02T14:03:00+02:00;10274_G;82;8;75;freeFlow;2
2025-07-02T14:03:00+02:00;10275_D;81;13;60;freeFlow;1
2025-07-02T14:03:00+02:00;10275_G;82;12;75;freeFlow;2
2025-07-02T14:03:00+02:00;10277_D;78;20;60;freeFlow;1
2025-07-02T14:03:00+02:00;10277_G;68;23;75;freeFlow;2
2025-07-02T14:03:00+02:00;10279_D;74;14;60;freeFlow;1
2025-07-02T14:03:00+02:00;10279_G;73;14;75;freeFlow;2
2025-07-02T14:03:00+02:00;10281_D;77;18;60;freeFlow;1
2025-07-02T14:03:00+02:00;10281_G;69;20;75;freeFlow;2
2025-07-02T14:03:00+02:00;10315_D;43;13;70;heavy;2
2025-07-02T14:03:00+02:00;10315_G;81;7;75;freeFlow;2
2025-07-02T14:03:00+02:00;11579_D;32;8;60;heavy;1
2025-07-02T14:03:00+02:00;11579_G;68;4;40;freeFlow;2
2025-07-02T14:03:00+02:00;11652;98;14;93;freeFlow;3
2025-07-02T14:03:00+02:00;11654;83;2;100;freeFlow;3
2025-07-02T14:03:00+02:00;11777_D;32;2;60;heavy;1
2025-07-02T14:03:00+02:00;11777_G;25;2;75;heavy;2
2025-07-02T14:03:00+02:00;11781_D;45;2;75;freeFlow;2
2025-07-02T14:03:00+02:00;11781_G;42;2;50;freeFlow;1
2025-07-02T14:03:00+02:00;11784_D;46;1;75;freeFlow;2
2025-07-02T14:03:00+02:00;11784_G;44;1;50;freeFlow;1
2025-07-02T14:03:00+02:00;11785_D;46;1;75;freeFlow;2
2025-07-02T14:03:00+02:00;11785_G;40;1;27;freeFlow;1
2025-07-02T14:03:00+02:00;12060_D;45;16;70;heavy;2
2025-07-02T14:03:00+02:00;12060_G;82;9;75;freeFlow;2
2025-07-02T14:03:00+02:00;1242_D;62;2;60;freeFlow;1
2025-07-02T14:03:00+02:00;1242_G;14;9;75;congested;2
2025-07-02T14:03:00+02:00;1285_D;62;1;60;freeFlow;1
2025-07-02T14:03:00+02:00;1285_G;59;1;75;freeFlow;2
2025-07-02T14:03:00+02:00;13514;24;9;50;congested;1
2025-07-02T14:03:00+02:00;13515;54;3;0;unknown;0
2025-07-02T14:03:00+02:00;13516;68;2;0;unknown;0
2025-07-02T14:03:00+02:00;13549_D;62;6;100;freeFlow;3
2025-07-02T14:03:00+02:00;13549_G;15;24;50;congested;1
2025-07-02T14:03:00+02:00;13557_D;52;7;100;heavy;3
2025-07-02T14:03:00+02:00;13557_G;17;22;50;congested;1
2025-07-02T14:03:00+02:00;14364;103;20;100;freeFlow;3
2025-07-02T14:03:00+02:00;14365;98;21;75;freeFlow;2
2025-07-02T14:03:00+02:00;15029_D;69;36;100;freeFlow;4
2025-07-02T14:03:00+02:00;15029_G;35;69;100;heavy;3
2025-07-02T14:03:00+02:00;15062;29;5;100;heavy;3
2025-07-02T14:03:00+02:00;15063;39;4;100;heavy;5
2025-07-02T14:03:00+02:00;15064;41;4;100;heavy;5
2025-07-02T14:03:00+02:00;15065;29;6;100;heavy;3
2025-07-02T14:03:00+02:00;15066;26;5;100;heavy;3
2025-07-02T14:03:00+02:00;15067_D;89;47;75;freeFlow;2
2025-07-02T14:03:00+02:00;15067_G;69;62;100;freeFlow;4
2025-07-02T14:03:00+02:00;15104_D;65;61;75;freeFlow;2
2025-07-02T14:03:00+02:00;15104_G;76;52;100;freeFlow;3
2025-07-02T14:03:00+02:00;15111;96;3;75;freeFlow;2
2025-07-02T14:03:00+02:00;15113;39;5;100;heavy;3
2025-07-02T14:03:00+02:00;15114;41;4;100;heavy;3
2025-07-02T14:03:00+02:00;15117;42;4;100;heavy;4
2025-07-02T14:03:00+02:00;15118;42;3;100;heavy;4
2025-07-02T14:03:00+02:00;15119;43;4;100;heavy;4
2025-07-02T14:03:00+02:00;15120;44;4;100;heavy;5
2025-07-02T14:03:00+02:00;15121;41;2;100;heavy;6
2025-07-02T14:03:00+02:00;15122;46;4;60;heavy;1
2025-07-02T14:03:00+02:00;15124_D;38;22;100;heavy;3
2025-07-02T14:03:00+02:00;15124_G;80;10;0;unknown;0
2025-07-02T14:03:00+02:00;15549_D;28;1;25;heavy;1
2025-07-02T14:03:00+02:00;15549_G;50;1;0;unknown;0
2025-07-02T14:03:00+02:00;15550;36;1;75;heavy;2
2025-07-02T14:03:00+02:00;15551;29;390;96;congested;5
2025-07-02T14:03:00+02:00;1601768;25;16;60;heavy;1
2025-07-02T14:03:00+02:00;1601771;27;9;75;heavy;2
2025-07-02T14:03:00+02:00;1601787;53;1;100;freeFlow;3
2025-07-02T14:03:00+02:00;1601792;36;1;60;freeFlow;1
2025-07-02T14:03:00+02:00;1601794_D;30;4;60;freeFlow;1
2025-07-02T14:03:00+02:00;1601794_G;17;6;60;heavy;1
2025-07-02T14:03:00+02:00;1601795;34;14;60;freeFlow;1
2025-07-02T14:03:00+02:00;1601797;17;31;60;heavy;1
2025-07-02T14:03:00+02:00;1601798;32;3;100;heavy;3
2025-07-02T14:03:00+02:00;1601799;17;4;60;heavy;1
2025-07-02T14:03:00+02:00;1601807;53;2;100;freeFlow;3
2025-07-02T14:03:00+02:00;1601808;63;15;69;freeFlow;2
2025-07-02T14:03:00+02:00;1601810;46;21;75;freeFlow;2
2025-07-02T14:03:00+02:00;1601812;69;3;50;freeFlow;1
2025-07-02T14:03:00+02:00;1601813_D;67;19;52;freeFlow;1
2025-07-02T14:03:00+02:00;1601813_G;50;25;0;unknown;0
2025-07-02T14:03:00+02:00;1601814;54;3;38;freeFlow;1
2025-07-02T14:03:00+02:00;1601815;41;4;60;freeFlow;1
2025-07-02T14:03:00+02:00;1601819;54;1;75;freeFlow;2
2025-07-02T14:03:00+02:00;1601824;69;2;50;freeFlow;1
2025-07-02T14:03:00+02:00;1601898;96;16;100;freeFlow;4
2025-07-02T14:03:00+02:00;1601931_D;50;5;0;unknown;0
2025-07-02T14:03:00+02:00;1601931_G;50;5;0;unknown;0
2025-07-02T14:03:00+02:00;1602158_D;11;2;60;congested;1
2025-07-02T14:03:00+02:00;1602158_G;47;1;0;unknown;0
2025-07-02T14:03:00+02:00;1602398;16;3;100;heavy;5
2025-07-02T14:03:00+02:00;1626;55;45;100;heavy;5
2025-07-02T14:03:00+02:00;1627;58;3;57;freeFlow;1
2025-07-02T14:03:00+02:00;1628;31;3;38;heavy;1
2025-07-02T14:03:00+02:00;1629;28;5;75;heavy;2
2025-07-02T14:03:00+02:00;1630;46;2;75;freeFlow;2
2025-07-02T14:03:00+02:00;1631;38;3;38;freeFlow;1
2025-07-02T14:03:00+02:00;1632;58;33;57;heavy;1
2025-07-02T14:03:00+02:00;1633;60;13;57;freeFlow;1
2025-07-02T14:03:00+02:00;1639;38;8;100;heavy;5
2025-07-02T14:03:00+02:00;16647_D;66;69;75;freeFlow;2
2025-07-02T14:03:00+02:00;16647_G;72;63;75;freeFlow;2
2025-07-02T14:03:00+02:00;16648_D;89;8;75;freeFlow;2
2025-07-02T14:03:00+02:00;16648_G;78;9;75;freeFlow;2
2025-07-02T14:03:00+02:00;16695_D;28;101;49;heavy;1
2025-07-02T14:03:00+02:00;16695_G;75;38;100;freeFlow;3
2025-07-02T14:03:00+02:00;16701;30;3;99;heavy;3
2025-07-02T14:03:00+02:00;16702;32;3;75;heavy;2
2025-07-02T14:03:00+02:00;16707_D;30;1;22;heavy;1
