datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-02T16:43:00+02:00;10273_D;80;9;45;freeFlow;1
2025-07-02T16:43:00+02:00;10273_G;83;9;100;freeFlow;3
2025-07-02T16:43:00+02:00;10274_D;80;8;45;freeFlow;1
2025-07-02T16:43:00+02:00;10274_G;83;8;100;freeFlow;3
2025-07-02T16:43:00+02:00;10275_D;79;13;45;freeFlow;1
2025-07-02T16:43:00+02:00;10275_G;81;12;100;freeFlow;3
2025-07-02T16:43:00+02:00;10277_D;77;20;48;freeFlow;1
2025-07-02T16:43:00+02:00;10277_G;72;21;100;freeFlow;3
2025-07-02T16:43:00+02:00;10279_D;75;13;48;freeFlow;1
2025-07-02T16:43:00+02:00;10279_G;47;22;60;heavy;1
2025-07-02T16:43:00+02:00;10281_D;76;18;48;freeFlow;1
2025-07-02T16:43:00+02:00;10281_G;48;29;60;heavy;1
2025-07-02T16:43:00+02:00;10315_D;80;7;45;freeFlow;1
2025-07-02T16:43:00+02:00;10315_G;83;7;100;freeFlow;3
2025-07-02T16:43:00+02:00;11579_D;84;3;45;freeFlow;1
2025-07-02T16:43:00+02:00;11579_G;80;3;0;unknown;0
2025-07-02T16:43:00+02:00;11652;60;23;100;heavy;3
2025-07-02T16:43:00+02:00;11654;8;17;100;congested;3
2025-07-02T16:43:00+02:00;11777_D;21;4;42;congested;1
2025-07-02T16:43:00+02:00;11777_G;46;1;100;heavy;4
2025-07-02T16:43:00+02:00;11781_D;43;2;42;freeFlow;1
2025-07-02T16:43:00+02:00;11781_G;15;5;0;unknown;0
2025-07-02T16:43:00+02:00;11784_D;49;1;42;freeFlow;1
2025-07-02T16:43:00+02:00;11784_G;30;2;0;unknown;0
2025-07-02T16:43:00+02:00;11785_D;46;1;42;freeFlow;1
2025-07-02T16:43:00+02:00;11785_G;30;1;0;unknown;0
2025-07-02T16:43:00+02:00;12060_D;80;9;45;freeFlow;1
2025-07-02T16:43:00+02:00;12060_G;83;9;100;freeFlow;3
2025-07-02T16:43:00+02:00;1242_D;48;2;57;heavy;1
2025-07-02T16:43:00+02:00;1242_G;31;4;30;heavy;1
2025-07-02T16:43:00+02:00;1285_D;48;1;57;heavy;1
2025-07-02T16:43:00+02:00;1285_G;39;1;38;heavy;1
2025-07-02T16:43:00+02:00;13514;42;5;100;heavy;3
2025-07-02T16:43:00+02:00;13515;59;2;75;freeFlow;2
2025-07-02T16:43:00+02:00;13516;34;3;25;heavy;1
2025-07-02T16:43:00+02:00;13549_D;71;5;75;freeFlow;2
2025-07-02T16:43:00+02:00;13549_G;55;6;75;heavy;2
2025-07-02T16:43:00+02:00;13557_D;55;7;95;heavy;3
2025-07-02T16:43:00+02:00;13557_G;41;9;75;heavy;2
2025-07-02T16:43:00+02:00;14364;117;18;75;freeFlow;2
2025-07-02T16:43:00+02:00;14365;111;18;75;freeFlow;2
2025-07-02T16:43:00+02:00;15029_D;52;48;75;heavy;2
2025-07-02T16:43:00+02:00;15029_G;64;38;75;freeFlow;2
2025-07-02T16:43:00+02:00;15062;32;4;60;heavy;1
2025-07-02T16:43:00+02:00;15063;38;4;100;heavy;3
2025-07-02T16:43:00+02:00;15064;41;4;75;heavy;2
2025-07-02T16:43:00+02:00;15065;28;7;75;heavy;2
2025-07-02T16:43:00+02:00;15066;32;4;100;heavy;4
2025-07-02T16:43:00+02:00;15067_D;80;53;0;unknown;0
2025-07-02T16:43:00+02:00;15067_G;55;77;88;heavy;4
2025-07-02T16:43:00+02:00;15104_D;80;49;0;unknown;0
2025-07-02T16:43:00+02:00;15104_G;71;56;88;freeFlow;3
2025-07-02T16:43:00+02:00;15111;106;3;60;freeFlow;1
2025-07-02T16:43:00+02:00;15113;52;4;55;heavy;1
2025-07-02T16:43:00+02:00;15114;52;3;55;heavy;1
2025-07-02T16:43:00+02:00;15117;52;3;55;heavy;1
2025-07-02T16:43:00+02:00;15118;43;2;60;heavy;1
