datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-02T06:03:00+02:00;10273_D;76;10;45;freeFlow;1
2025-07-02T06:03:00+02:00;10273_G;70;10;60;freeFlow;1
2025-07-02T06:03:00+02:00;10274_D;74;9;45;freeFlow;1
2025-07-02T06:03:00+02:00;10274_G;91;7;60;freeFlow;1
2025-07-02T06:03:00+02:00;10275_D;77;13;48;freeFlow;1
2025-07-02T06:03:00+02:00;10275_G;91;11;60;freeFlow;1
2025-07-02T06:03:00+02:00;10277_D;72;21;48;freeFlow;1
2025-07-02T06:03:00+02:00;10277_G;91;17;60;freeFlow;1
2025-07-02T06:03:00+02:00;10279_D;68;15;48;freeFlow;1
2025-07-02T06:03:00+02:00;10279_G;91;11;60;freeFlow;1
2025-07-02T06:03:00+02:00;10281_D;75;19;48;freeFlow;1
2025-07-02T06:03:00+02:00;10281_G;84;17;60;freeFlow;1
2025-07-02T06:03:00+02:00;10315_D;77;7;45;freeFlow;1
2025-07-02T06:03:00+02:00;10315_G;70;8;60;freeFlow;1
2025-07-02T06:03:00+02:00;11579_D;80;3;0;unknown;0
2025-07-02T06:03:00+02:00;11579_G;80;3;0;unknown;0
2025-07-02T06:03:00+02:00;11652;52;26;35;heavy;1
2025-07-02T06:03:00+02:00;11654;13;10;32;congested;1
2025-07-02T06:03:00+02:00;11777_D;39;2;40;heavy;1
2025-07-02T06:03:00+02:00;11777_G;50;1;60;freeFlow;1
2025-07-02T06:03:00+02:00;11781_D;30;3;0;unknown;0
2025-07-02T06:03:00+02:00;11781_G;30;3;0;unknown;0
2025-07-02T06:03:00+02:00;11784_D;30;2;0;unknown;0
2025-07-02T06:03:00+02:00;11784_G;30;2;0;unknown;0
2025-07-02T06:03:00+02:00;11785_D;30;1;0;unknown;0
2025-07-02T06:03:00+02:00;11785_G;30;1;0;unknown;0
2025-07-02T06:03:00+02:00;12060_D;76;9;45;freeFlow;1
2025-07-02T06:03:00+02:00;12060_G;80;9;60;freeFlow;1
2025-07-02T06:03:00+02:00;1242_D;72;1;60;freeFlow;1
2025-07-02T06:03:00+02:00;1242_G;68;2;17;freeFlow;1
2025-07-02T06:03:00+02:00;1285_D;72;1;60;freeFlow;1
2025-07-02T06:03:00+02:00;1285_G;77;1;17;freeFlow;1
2025-07-02T06:03:00+02:00;13514;80;3;0;unknown;0
2025-07-02T06:03:00+02:00;13515;80;2;0;unknown;0
2025-07-02T06:03:00+02:00;13516;80;1;0;unknown;0
2025-07-02T06:03:00+02:00;13549_D;80;4;0;unknown;0
2025-07-02T06:03:00+02:00;13549_G;80;4;0;unknown;0
2025-07-02T06:03:00+02:00;13557_D;80;5;0;unknown;0
2025-07-02T06:03:00+02:00;13557_G;80;5;0;unknown;0
2025-07-02T06:03:00+02:00;14364;89;23;75;freeFlow;2
2025-07-02T06:03:00+02:00;14365;91;22;40;freeFlow;1
2025-07-02T06:03:00+02:00;15029_D;53;46;22;heavy;1
2025-07-02T06:03:00+02:00;15029_G;90;27;25;freeFlow;1
2025-07-02T06:03:00+02:00;15062;35;4;25;heavy;1
2025-07-02T06:03:00+02:00;15063;53;3;22;heavy;1
2025-07-02T06:03:00+02:00;15064;53;3;22;heavy;1
2025-07-02T06:03:00+02:00;15065;35;5;25;heavy;1
2025-07-02T06:03:00+02:00;15066;80;2;0;unknown;0
2025-07-02T06:03:00+02:00;15067_D;90;47;25;freeFlow;1
2025-07-02T06:03:00+02:00;15067_G;80;53;0;unknown;0
2025-07-02T06:03:00+02:00;15104_D;96;41;27;freeFlow;1
2025-07-02T06:03:00+02:00;15104_G;80;49;0;unknown;0
2025-07-02T06:03:00+02:00;15111;87;4;40;freeFlow;1
2025-07-02T06:03:00+02:00;15113;80;2;0;unknown;0
2025-07-02T06:03:00+02:00;15114;80;2;0;unknown;0
2025-07-02T06:03:00+02:00;15117;80;2;0;unknown;0
2025-07-02T06:03:00+02:00;15118;49;2;27;heavy;1
2025-07-02T06:03:00+02:00;15119;49;4;27;heavy;1
2025-07-02T06:03:00+02:00;15120;80;2;0;unknown;0
2025-07-02T06:03:00+02:00;15121;80;1;0;unknown;0
2025-07-02T06:03:00+02:00;15122;80;2;0;unknown;0
2025-07-02T06:03:00+02:00;15124_D;80;11;0;unknown;0
2025-07-02T06:03:00+02:00;15124_G;80;10;0;unknown;0
2025-07-02T06:03:00+02:00;15549_D;50;1;0;unknown;0
2025-07-02T06:03:00+02:00;15549_G;50;1;0;unknown;0
2025-07-02T06:03:00+02:00;15550;57;0;60;freeFlow;1
2025-07-02T06:03:00+02:00;15551;75;152;43;heavy;1
2025-07-02T06:03:00+02:00;1601768;50;8;0;unknown;0
2025-07-02T06:03:00+02:00;1601771;50;5;0;unknown;0
2025-07-02T06:03:00+02:00;1601787;50;2;0;unknown;0
