datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-02T20:03:00+02:00;10273_D;80;9;55;freeFlow;1
2025-07-02T20:03:00+02:00;10273_G;75;10;60;freeFlow;1
2025-07-02T20:03:00+02:00;10274_D;51;13;55;freeFlow;1
2025-07-02T20:03:00+02:00;10274_G;75;9;60;freeFlow;1
2025-07-02T20:03:00+02:00;10275_D;48;21;57;heavy;1
2025-07-02T20:03:00+02:00;10275_G;75;13;60;freeFlow;1
2025-07-02T20:03:00+02:00;10277_D;68;23;57;freeFlow;1
2025-07-02T20:03:00+02:00;10277_G;75;21;60;freeFlow;1
2025-07-02T20:03:00+02:00;10279_D;75;13;57;freeFlow;1
2025-07-02T20:03:00+02:00;10279_G;75;13;60;freeFlow;1
2025-07-02T20:03:00+02:00;10281_D;80;18;58;freeFlow;1
2025-07-02T20:03:00+02:00;10281_G;75;19;60;freeFlow;1
2025-07-02T20:03:00+02:00;10315_D;79;7;55;freeFlow;1
2025-07-02T20:03:00+02:00;10315_G;75;7;60;freeFlow;1
2025-07-02T20:03:00+02:00;11579_D;80;3;0;unknown;0
2025-07-02T20:03:00+02:00;11579_G;80;3;0;unknown;0
2025-07-02T20:03:00+02:00;11652;95;14;100;freeFlow;3
2025-07-02T20:03:00+02:00;11654;22;6;96;heavy;3
2025-07-02T20:03:00+02:00;11777_D;38;2;52;heavy;1
2025-07-02T20:03:00+02:00;11777_G;30;2;100;heavy;3
2025-07-02T20:03:00+02:00;11781_D;18;5;20;heavy;1
2025-07-02T20:03:00+02:00;11781_G;30;3;0;unknown;0
2025-07-02T20:03:00+02:00;11784_D;30;2;0;unknown;0
2025-07-02T20:03:00+02:00;11784_G;30;2;0;unknown;0
2025-07-02T20:03:00+02:00;11785_D;30;1;0;unknown;0
2025-07-02T20:03:00+02:00;11785_G;30;1;0;unknown;0
2025-07-02T20:03:00+02:00;12060_D;74;10;55;freeFlow;1
2025-07-02T20:03:00+02:00;12060_G;75;10;60;freeFlow;1
2025-07-02T20:03:00+02:00;1242_D;65;2;57;freeFlow;1
2025-07-02T20:03:00+02:00;1242_G;83;1;60;freeFlow;1
2025-07-02T20:03:00+02:00;1285_D;74;1;57;freeFlow;1
2025-07-02T20:03:00+02:00;1285_G;83;1;60;freeFlow;1
2025-07-02T20:03:00+02:00;13514;32;6;60;heavy;1
2025-07-02T20:03:00+02:00;13515;29;5;60;heavy;1
2025-07-02T20:03:00+02:00;13516;80;1;0;unknown;0
2025-07-02T20:03:00+02:00;13549_D;73;5;74;freeFlow;2
2025-07-02T20:03:00+02:00;13549_G;63;6;71;freeFlow;2
2025-07-02T20:03:00+02:00;13557_D;60;6;67;freeFlow;3
2025-07-02T20:03:00+02:00;13557_G;53;7;60;heavy;1
2025-07-02T20:03:00+02:00;14364;103;20;75;freeFlow;2
2025-07-02T20:03:00+02:00;14365;115;18;60;freeFlow;1
2025-07-02T20:03:00+02:00;15029_D;88;28;60;freeFlow;1
2025-07-02T20:03:00+02:00;15029_G;69;35;40;freeFlow;1
2025-07-02T20:03:00+02:00;15062;46;3;40;heavy;1
2025-07-02T20:03:00+02:00;15063;50;3;60;heavy;1
2025-07-02T20:03:00+02:00;15064;72;2;60;freeFlow;1
2025-07-02T20:03:00+02:00;15065;35;5;40;heavy;1
2025-07-02T20:03:00+02:00;15066;35;4;66;heavy;2
2025-07-02T20:03:00+02:00;15067_D;80;53;0;unknown;0
2025-07-02T20:03:00+02:00;15067_G;64;67;60;freeFlow;1
2025-07-02T20:03:00+02:00;15104_D;80;49;0;unknown;0
2025-07-02T20:03:00+02:00;15104_G;80;50;60;freeFlow;1
2025-07-02T20:03:00+02:00;15111;115;3;60;freeFlow;1
2025-07-02T20:03:00+02:00;15113;42;4;25;heavy;2
2025-07-02T20:03:00+02:00;15114;63;2;25;freeFlow;1
2025-07-02T20:03:00+02:00;15117;27;6;25;heavy;2
2025-07-02T20:03:00+02:00;15118;14;8;0;unknown;0
2025-07-02T20:03:00+02:00;15119;49;4;0;unknown;0
2025-07-02T20:03:00+02:00;15120;36;5;73;heavy;2
2025-07-02T20:03:00+02:00;15121;42;2;60;heavy;1
2025-07-02T20:03:00+02:00;15122;33;5;60;heavy;1
2025-07-02T20:03:00+02:00;15124_D;45;19;25;heavy;2
2025-07-02T20:03:00+02:00;15124_G;49;17;60;heavy;1
2025-07-02T20:03:00+02:00;15549_D;38;1;15;freeFlow;1
2025-07-02T20:03:00+02:00;15549_G;50;1;0;unknown;0
2025-07-02T20:03:00+02:00;15550;62;0;75;freeFlow;2
2025-07-02T20:03:00+02:00;15551;89;127;70;freeFlow;3
2025-07-02T20:03:00+02:00;1601768;28;14;100;heavy;3
2025-07-02T20:03:00+02:00;1601771;29;9;48;heavy;2
2025-07-02T20:03:00+02:00;1601787;35;2;25;heavy;1
2025-07-02T20:03:00+02:00;1601792;30;2;0;unknown;0
2025-07-02T20:03:00+02:00;1601794_D;30;4;0;unknown;0
2025-07-02T20:03:00+02:00;1601794_G;37;3;75;freeFlow;2
2025-07-02T20:03:00+02:00;1601795;30;16;0;unknown;0
2025-07-02T20:03:00+02:00;1601797;41;13;75;freeFlow;2
2025-07-02T20:03:00+02:00;1601798;42;3;95;freeFlow;3
2025-07-02T20:03:00+02:00;1601799;43;2;75;freeFlow;2
2025-07-02T20:03:00+02:00;1601807;44;3;88;freeFlow;3
2025-07-02T20:03:00+02:00;1601808;55;17;48;freeFlow;1
2025-07-02T20:03:00+02:00;1601810;44;22;86;freeFlow;4
2025-07-02T20:03:00+02:00;1601812;52;3;49;freeFlow;2
2025-07-02T20:03:00+02:00;1601813_D;53;24;25;freeFlow;1
2025-07-02T20:03:00+02:00;1601813_G;42;30;45;freeFlow;1
2025-07-02T20:03:00+02:00;1601814;42;4;45;freeFlow;1
2025-07-02T20:03:00+02:00;1601815;29;6;94;heavy;4
2025-07-02T20:03:00+02:00;1601819;38;1;60;freeFlow;2
2025-07-02T20:03:00+02:00;1601824;56;3;63;freeFlow;2
2025-07-02T20:03:00+02:00;1601898;86;18;75;freeFlow;2
2025-07-02T20:03:00+02:00;1601931_D;50;5;0;unknown;0
2025-07-02T20:03:00+02:00;1601931_G;43;6;52;freeFlow;1
2025-07-02T20:03:00+02:00;1602158_D;50;1;0;unknown;0
2025-07-02T20:03:00+02:00;1602158_G;11;3;50;congested;1
2025-07-02T20:03:00+02:00;1602398;26;2;75;heavy;2
2025-07-02T20:03:00+02:00;1626;71;35;100;freeFlow;4
2025-07-02T20:03:00+02:00;1627;41;4;75;freeFlow;2
2025-07-02T20:03:00+02:00;1628;50;2;0;unknown;0
2025-07-02T20:03:00+02:00;1629;59;2;100;freeFlow;3
2025-07-02T20:03:00+02:00;1630;64;2;100;freeFlow;4
2025-07-02T20:03:00+02:00;1631;63;2;60;freeFlow;1
2025-07-02T20:03:00+02:00;1632;53;36;100;heavy;3
2025-07-02T20:03:00+02:00;1633;80;10;50;freeFlow;1
2025-07-02T20:03:00+02:00;1639;56;5;100;freeFlow;3
2025-07-02T20:03:00+02:00;16647_D;82;55;32;freeFlow;2
2025-07-02T20:03:00+02:00;16647_G;84;54;53;freeFlow;1
2025-07-02T20:03:00+02:00;16648_D;76;10;20;freeFlow;1
2025-07-02T20:03:00+02:00;16648_G;85;8;60;freeFlow;1
2025-07-02T20:03:00+02:00;16695_D;60;47;55;freeFlow;1
2025-07-02T20:03:00+02:00;16695_G;80;36;68;freeFlow;2
2025-07-02T20:03:00+02:00;16701;107;1;38;freeFlow;1
2025-07-02T20:03:00+02:00;16702;50;2;0;unknown;0
2025-07-02T20:03:00+02:00;16707_D;44;1;12;freeFlow;1
2025-07-02T20:03:00+02:00;16707_G;32;1;0;unknown;0
2025-07-02T20:03:00+02:00;16744;32;4;52;heavy;1
2025-07-02T20:03:00+02:00;16745;32;4;93;heavy;3
2025-07-02T20:03:00+02:00;16746;38;3;75;heavy;2
2025-07-02T20:03:00+02:00;16747;33;5;75;heavy;2
2025-07-02T20:03:00+02:00;16748;36;4;75;heavy;2
2025-07-02T20:03:00+02:00;16749;43;3;75;heavy;2
2025-07-02T20:03:00+02:00;16752_D;80;5;0;unknown;0
2025-07-02T20:03:00+02:00;16752_G;39;10;52;heavy;1
2025-07-02T20:03:00+02:00;1675_D;30;9;0;unknown;0
2025-07-02T20:03:00+02:00;1675_G;66;4;60;freeFlow;1
2025-07-02T20:03:00+02:00;1676;75;6;75;freeFlow;2
2025-07-02T20:03:00+02:00;16761;44;2;12;freeFlow;1
2025-07-02T20:03:00+02:00;16762;107;1;38;freeFlow;1
2025-07-02T20:03:00+02:00;1677;63;8;100;heavy;3
2025-07-02T20:03:00+02:00;1677109;67;24;75;freeFlow;2
2025-07-02T20:03:00+02:00;1677110;37;1;60;heavy;1
2025-07-02T20:03:00+02:00;1677175_D;12;123;69;heavy;2
2025-07-02T20:03:00+02:00;1677175_G;26;56;75;freeFlow;2
2025-07-02T20:03:00+02:00;1677180_D;30;1;0;unknown;0
2025-07-02T20:03:00+02:00;1677180_G;21;2;75;freeFlow;2
2025-07-02T20:03:00+02:00;1677184_D;6;110;55;congested;1
2025-07-02T20:03:00+02:00;1677184_G;21;32;75;freeFlow;2
2025-07-02T20:03:00+02:00;1677551_D;30;2;0;unknown;0
2025-07-02T20:03:00+02:00;1677551_G;54;1;32;freeFlow;1
2025-07-02T20:03:00+02:00;1677568_D;50;29;0;unknown;0
2025-07-02T20:03:00+02:00;1677568_G;57;26;50;freeFlow;1
