datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-02T07:43:00+02:00;10273_D;26;28;60;heavy;1
2025-07-02T07:43:00+02:00;10273_G;65;11;65;freeFlow;2
2025-07-02T07:43:00+02:00;10274_D;32;20;60;heavy;1
2025-07-02T07:43:00+02:00;10274_G;62;10;65;freeFlow;2
2025-07-02T07:43:00+02:00;10275_D;43;24;52;heavy;2
2025-07-02T07:43:00+02:00;10275_G;73;14;50;freeFlow;1
2025-07-02T07:43:00+02:00;10277_D;34;45;56;heavy;2
2025-07-02T07:43:00+02:00;10277_G;52;30;63;freeFlow;2
2025-07-02T07:43:00+02:00;10279_D;42;24;75;heavy;2
2025-07-02T07:43:00+02:00;10279_G;31;33;63;heavy;2
2025-07-02T07:43:00+02:00;10281_D;40;35;75;heavy;2
2025-07-02T07:43:00+02:00;10281_G;48;29;63;heavy;2
2025-07-02T07:43:00+02:00;10315_D;49;11;60;freeFlow;1
2025-07-02T07:43:00+02:00;10315_G;37;15;65;heavy;2
2025-07-02T07:43:00+02:00;11579_D;71;4;75;freeFlow;2
2025-07-02T07:43:00+02:00;11579_G;67;4;45;freeFlow;1
2025-07-02T07:43:00+02:00;11652;72;19;100;freeFlow;7
2025-07-02T07:43:00+02:00;11654;26;5;75;heavy;2
2025-07-02T07:43:00+02:00;11777_D;14;6;99;congested;3
2025-07-02T07:43:00+02:00;11777_G;61;1;60;freeFlow;1
2025-07-02T07:43:00+02:00;11781_D;51;2;60;freeFlow;1
2025-07-02T07:43:00+02:00;11781_G;30;3;0;unknown;0
2025-07-02T07:43:00+02:00;11784_D;51;1;60;freeFlow;1
2025-07-02T07:43:00+02:00;11784_G;30;2;0;unknown;0
2025-07-02T07:43:00+02:00;11785_D;35;1;57;freeFlow;1
2025-07-02T07:43:00+02:00;11785_G;30;1;48;freeFlow;1
2025-07-02T07:43:00+02:00;12060_D;62;12;60;freeFlow;1
2025-07-02T07:43:00+02:00;12060_G;55;13;65;freeFlow;2
2025-07-02T07:43:00+02:00;1242_D;68;2;40;freeFlow;1
2025-07-02T07:43:00+02:00;1242_G;27;4;75;heavy;2
2025-07-02T07:43:00+02:00;1285_D;75;1;45;freeFlow;1
2025-07-02T07:43:00+02:00;1285_G;39;1;75;heavy;2
2025-07-02T07:43:00+02:00;13514;29;7;60;heavy;1
2025-07-02T07:43:00+02:00;13515;26;5;60;heavy;1
2025-07-02T07:43:00+02:00;13516;30;4;50;heavy;1
2025-07-02T07:43:00+02:00;13549_D;49;7;38;heavy;1
2025-07-02T07:43:00+02:00;13549_G;50;7;60;heavy;1
2025-07-02T07:43:00+02:00;13557_D;37;10;35;heavy;1
2025-07-02T07:43:00+02:00;13557_G;28;13;60;heavy;1
2025-07-02T07:43:00+02:00;14364;112;18;75;freeFlow;2
2025-07-02T07:43:00+02:00;14365;111;19;100;freeFlow;3
2025-07-02T07:43:00+02:00;15029_D;59;41;100;freeFlow;3
2025-07-02T07:43:00+02:00;15029_G;52;47;75;heavy;2
2025-07-02T07:43:00+02:00;15062;35;4;75;heavy;2
2025-07-02T07:43:00+02:00;15063;70;2;98;freeFlow;3
2025-07-02T07:43:00+02:00;15064;39;4;100;heavy;3
2025-07-02T07:43:00+02:00;15065;45;4;75;heavy;2
2025-07-02T07:43:00+02:00;15066;54;3;97;heavy;3
2025-07-02T07:43:00+02:00;15067_D;59;72;43;freeFlow;2
2025-07-02T07:43:00+02:00;15067_G;101;42;75;freeFlow;3
2025-07-02T07:43:00+02:00;15104_D;67;59;44;freeFlow;2
2025-07-02T07:43:00+02:00;15104_G;46;86;62;heavy;2
2025-07-02T07:43:00+02:00;15111;119;3;100;freeFlow;3
2025-07-02T07:43:00+02:00;15113;25;7;35;heavy;1
2025-07-02T07:43:00+02:00;15114;29;5;64;heavy;2
2025-07-02T07:43:00+02:00;15117;28;5;35;heavy;1
2025-07-02T07:43:00+02:00;15118;27;4;35;heavy;1
2025-07-02T07:43:00+02:00;15119;28;6;35;heavy;1
2025-07-02T07:43:00+02:00;15120;35;5;69;heavy;2
2025-07-02T07:43:00+02:00;15121;32;3;60;heavy;1
2025-07-02T07:43:00+02:00;15122;32;5;60;heavy;1
2025-07-02T07:43:00+02:00;15124_D;33;26;35;heavy;1
2025-07-02T07:43:00+02:00;15124_G;27;31;60;heavy;1
2025-07-02T07:43:00+02:00;15549_D;57;1;55;freeFlow;1
2025-07-02T07:43:00+02:00;15549_G;33;1;40;heavy;1
2025-07-02T07:43:00+02:00;15550;51;1;100;freeFlow;3
2025-07-02T07:43:00+02:00;15551;97;117;100;freeFlow;5
2025-07-02T07:43:00+02:00;1601768;27;15;50;heavy;2
2025-07-02T07:43:00+02:00;1601771;27;9;100;heavy;3
2025-07-02T07:43:00+02:00;1601787;13;6;57;congested;1
2025-07-02T07:43:00+02:00;1601792;25;2;60;freeFlow;1
2025-07-02T07:43:00+02:00;1601794_D;18;7;72;heavy;2
2025-07-02T07:43:00+02:00;1601794_G;37;3;73;freeFlow;2
2025-07-02T07:43:00+02:00;1601795;33;14;75;freeFlow;2
2025-07-02T07:43:00+02:00;1601797;31;17;73;freeFlow;2
2025-07-02T07:43:00+02:00;1601798;34;3;75;heavy;2
2025-07-02T07:43:00+02:00;1601799;32;2;73;freeFlow;2
2025-07-02T07:43:00+02:00;1601807;33;4;100;heavy;7
2025-07-02T07:43:00+02:00;1601808;56;17;100;freeFlow;3
2025-07-02T07:43:00+02:00;1601810;42;23;100;freeFlow;7
2025-07-02T07:43:00+02:00;1601812;62;3;100;freeFlow;3
2025-07-02T07:43:00+02:00;1601813_D;63;20;98;freeFlow;3
2025-07-02T07:43:00+02:00;1601813_G;62;20;100;freeFlow;4
2025-07-02T07:43:00+02:00;1601814;64;3;100;freeFlow;4
2025-07-02T07:43:00+02:00;1601815;50;3;100;freeFlow;6
2025-07-02T07:43:00+02:00;1601819;24;2;100;heavy;4
2025-07-02T07:43:00+02:00;1601824;60;3;100;freeFlow;3
2025-07-02T07:43:00+02:00;1601898;81;19;45;freeFlow;1
2025-07-02T07:43:00+02:00;1601931_D;17;16;38;heavy;1
2025-07-02T07:43:00+02:00;1601931_G;36;7;40;freeFlow;1
2025-07-02T07:43:00+02:00;1602158_D;50;1;0;unknown;0
2025-07-02T07:43:00+02:00;1602158_G;39;1;32;freeFlow;1
2025-07-02T07:43:00+02:00;1602398;45;1;42;freeFlow;1
2025-07-02T07:43:00+02:00;1626;47;52;100;heavy;9
2025-07-02T07:43:00+02:00;1627;47;4;100;freeFlow;4
2025-07-02T07:43:00+02:00;1628;104;1;60;freeFlow;1
2025-07-02T07:43:00+02:00;1629;23;6;100;heavy;7
2025-07-02T07:43:00+02:00;1630;33;3;100;heavy;6
