datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-02T11:43:00+02:00;10273_D;63;11;60;freeFlow;1
2025-07-02T11:43:00+02:00;10273_G;70;10;20;freeFlow;1
2025-07-02T11:43:00+02:00;10274_D;54;12;60;freeFlow;1
2025-07-02T11:43:00+02:00;10274_G;74;9;17;freeFlow;1
2025-07-02T11:43:00+02:00;10275_D;54;19;60;freeFlow;1
2025-07-02T11:43:00+02:00;10275_G;77;13;17;freeFlow;1
2025-07-02T11:43:00+02:00;10277_D;63;24;68;freeFlow;2
2025-07-02T11:43:00+02:00;10277_G;76;20;17;freeFlow;1
2025-07-02T11:43:00+02:00;10279_D;78;13;60;freeFlow;1
2025-07-02T11:43:00+02:00;10279_G;47;21;38;heavy;1
2025-07-02T11:43:00+02:00;10281_D;77;18;74;freeFlow;2
2025-07-02T11:43:00+02:00;10281_G;22;63;38;heavy;1
2025-07-02T11:43:00+02:00;10315_D;70;8;48;freeFlow;2
2025-07-02T11:43:00+02:00;10315_G;70;8;20;freeFlow;1
2025-07-02T11:43:00+02:00;11579_D;65;4;57;freeFlow;1
2025-07-02T11:43:00+02:00;11579_G;80;3;0;unknown;0
2025-07-02T11:43:00+02:00;11652;66;21;75;freeFlow;2
2025-07-02T11:43:00+02:00;11654;79;2;75;freeFlow;2
2025-07-02T11:43:00+02:00;11777_D;28;3;60;heavy;1
2025-07-02T11:43:00+02:00;11777_G;29;2;22;heavy;1
2025-07-02T11:43:00+02:00;11781_D;36;2;55;freeFlow;1
2025-07-02T11:43:00+02:00;11781_G;40;2;50;freeFlow;1
2025-07-02T11:43:00+02:00;11784_D;30;2;0;unknown;0
2025-07-02T11:43:00+02:00;11784_G;46;1;50;freeFlow;1
2025-07-02T11:43:00+02:00;11785_D;30;1;0;unknown;0
2025-07-02T11:43:00+02:00;11785_G;16;2;32;heavy;1
2025-07-02T11:43:00+02:00;12060_D;70;10;41;freeFlow;2
2025-07-02T11:43:00+02:00;12060_G;74;10;17;freeFlow;1
2025-07-02T11:43:00+02:00;1242_D;59;2;12;freeFlow;1
2025-07-02T11:43:00+02:00;1242_G;50;2;60;freeFlow;1
2025-07-02T11:43:00+02:00;1285_D;68;1;15;freeFlow;1
2025-07-02T11:43:00+02:00;1285_G;50;1;60;freeFlow;1
2025-07-02T11:43:00+02:00;13514;29;7;70;heavy;2
2025-07-02T11:43:00+02:00;13515;30;5;63;heavy;2
2025-07-02T11:43:00+02:00;13516;46;2;25;heavy;1
2025-07-02T11:43:00+02:00;13549_D;44;8;60;heavy;1
2025-07-02T11:43:00+02:00;13549_G;51;7;68;heavy;2
2025-07-02T11:43:00+02:00;13557_D;44;8;60;heavy;1
2025-07-02T11:43:00+02:00;13557_G;31;12;60;heavy;1
2025-07-02T11:43:00+02:00;14364;109;19;65;freeFlow;2
2025-07-02T11:43:00+02:00;14365;82;25;100;freeFlow;3
2025-07-02T11:43:00+02:00;15029_D;63;39;100;freeFlow;4
2025-07-02T11:43:00+02:00;15029_G;66;37;35;freeFlow;1
2025-07-02T11:43:00+02:00;15062;27;5;35;heavy;1
2025-07-02T11:43:00+02:00;15063;22;7;97;congested;3
2025-07-02T11:43:00+02:00;15064;22;7;100;congested;4
2025-07-02T11:43:00+02:00;15065;27;7;35;heavy;1
2025-07-02T11:43:00+02:00;15066;18;8;65;congested;2
2025-07-02T11:43:00+02:00;15067_D;80;53;20;freeFlow;1
2025-07-02T11:43:00+02:00;15067_G;34;124;67;heavy;2
2025-07-02T11:43:00+02:00;15104_D;68;58;22;freeFlow;1
2025-07-02T11:43:00+02:00;15104_G;63;63;85;freeFlow;3
2025-07-02T11:43:00+02:00;15111;110;3;100;freeFlow;3
2025-07-02T11:43:00+02:00;15113;44;4;60;heavy;1
2025-07-02T11:43:00+02:00;15114;44;3;60;heavy;1
2025-07-02T11:43:00+02:00;15117;35;4;60;heavy;1
2025-07-02T11:43:00+02:00;15118;35;3;60;heavy;1
2025-07-02T11:43:00+02:00;15119;35;5;60;heavy;1
2025-07-02T11:43:00+02:00;15120;35;5;100;heavy;3
2025-07-02T11:43:00+02:00;15121;52;2;75;heavy;2
2025-07-02T11:43:00+02:00;15122;30;6;42;heavy;1
2025-07-02T11:43:00+02:00;15124_D;43;20;60;heavy;1
2025-07-02T11:43:00+02:00;15124_G;26;32;62;heavy;2
2025-07-02T11:43:00+02:00;15549_D;35;1;32;freeFlow;1
2025-07-02T11:43:00+02:00;15549_G;50;1;0;unknown;0
2025-07-02T11:43:00+02:00;15550;122;0;50;freeFlow;1
2025-07-02T11:43:00+02:00;15551;14;785;100;congested;9
2025-07-02T11:43:00+02:00;1601768;12;32;100;congested;3
2025-07-02T11:43:00+02:00;1601771;33;7;80;heavy;3
2025-07-02T11:43:00+02:00;1601787;68;1;64;freeFlow;2
2025-07-02T11:43:00+02:00;1601792;104;0;55;freeFlow;1
2025-07-02T11:43:00+02:00;1601794_D;70;2;55;freeFlow;1
2025-07-02T11:43:00+02:00;1601794_G;49;2;52;freeFlow;1
2025-07-02T11:43:00+02:00;1601795;104;5;55;freeFlow;1
2025-07-02T11:43:00+02:00;1601797;49;11;52;freeFlow;1
2025-07-02T11:43:00+02:00;1601798;47;2;65;freeFlow;2
2025-07-02T11:43:00+02:00;1601799;49;1;52;freeFlow;1
2025-07-02T11:43:00+02:00;1601807;49;2;100;freeFlow;3
2025-07-02T11:43:00+02:00;1601808;68;14;75;freeFlow;2
2025-07-02T11:43:00+02:00;1601810;36;26;100;freeFlow;4
2025-07-02T11:43:00+02:00;1601812;57;3;98;freeFlow;4
2025-07-02T11:43:00+02:00;1601813_D;51;25;58;freeFlow;1
2025-07-02T11:43:00+02:00;1601813_G;56;22;42;freeFlow;1
2025-07-02T11:43:00+02:00;1601814;53;3;64;freeFlow;2
2025-07-02T11:43:00+02:00;1601815;52;3;100;freeFlow;4
2025-07-02T11:43:00+02:00;1601819;42;1;60;freeFlow;1
2025-07-02T11:43:00+02:00;1601824;70;2;100;freeFlow;3
2025-07-02T11:43:00+02:00;1601898;77;20;100;freeFlow;4
2025-07-02T11:43:00+02:00;1601931_D;40;7;48;freeFlow;1
2025-07-02T11:43:00+02:00;1601931_G;39;7;42;freeFlow;1
2025-07-02T11:43:00+02:00;1602158_D;41;1;50;freeFlow;1
2025-07-02T11:43:00+02:00;1602158_G;31;1;40;heavy;1
2025-07-02T11:43:00+02:00;1602398;40;1;42;freeFlow;1
2025-07-02T11:43:00+02:00;1626;54;45;100;heavy;5
2025-07-02T11:43:00+02:00;1627;53;3;75;freeFlow;2
2025-07-02T11:43:00+02:00;1628;50;2;0;unknown;0
2025-07-02T11:43:00+02:00;1629;31;4;99;heavy;3
2025-07-02T11:43:00+02:00;1630;57;2;100;freeFlow;3
2025-07-02T11:43:00+02:00;1631;39;3;60;freeFlow;1
2025-07-02T11:43:00+02:00;1632;76;25;65;freeFlow;2
2025-07-02T11:43:00+02:00;1633;85;9;48;freeFlow;1
2025-07-02T11:43:00+02:00;1639;41;7;100;heavy;4
2025-07-02T11:43:00+02:00;16647_D;84;54;75;freeFlow;3
2025-07-02T11:43:00+02:00;16647_G;73;63;50;freeFlow;2
2025-07-02T11:43:00+02:00;16648_D;94;8;75;freeFlow;2
2025-07-02T11:43:00+02:00;16648_G;86;8;60;freeFlow;1
2025-07-02T11:43:00+02:00;16695_D;59;48;72;freeFlow;2
2025-07-02T11:43:00+02:00;16695_G;56;51;60;heavy;1
2025-07-02T11:43:00+02:00;16701;23;4;75;heavy;2
2025-07-02T11:43:00+02:00;16702;38;3;60;freeFlow;1
2025-07-02T11:43:00+02:00;16707_D;31;1;30;heavy;1
2025-07-02T11:43:00+02:00;16707_G;21;2;75;heavy;2
2025-07-02T11:43:00+02:00;16744;60;2;75;freeFlow;2
2025-07-02T11:43:00+02:00;16745;50;2;60;heavy;1
2025-07-02T11:43:00+02:00;16746;45;2;60;heavy;1
2025-07-02T11:43:00+02:00;16747;73;2;100;freeFlow;4
2025-07-02T11:43:00+02:00;16748;70;2;75;freeFlow;2
2025-07-02T11:43:00+02:00;16749;57;2;75;freeFlow;2
2025-07-02T11:43:00+02:00;16752_D;56;7;60;heavy;1
2025-07-02T11:43:00+02:00;16752_G;13;31;75;congested;2
2025-07-02T11:43:00+02:00;1675_D;41;7;32;freeFlow;1
2025-07-02T11:43:00+02:00;1675_G;32;8;60;freeFlow;1
2025-07-02T11:43:00+02:00;1676;96;5;60;freeFlow;1
2025-07-02T11:43:00+02:00;16761;31;3;51;heavy;2
2025-07-02T11:43:00+02:00;16762;27;3;75;heavy;2
2025-07-02T11:43:00+02:00;1677;26;20;73;congested;2
2025-07-02T11:43:00+02:00;1677109;18;89;100;congested;4
2025-07-02T11:43:00+02:00;1677110;25;2;0;unknown;0
2025-07-02T11:43:00+02:00;1677175_D;104;14;55;freeFlow;1
2025-07-02T11:43:00+02:00;1677175_G;25;57;50;freeFlow;1
2025-07-02T11:43:00+02:00;1677180_D;104;0;55;freeFlow;1
2025-07-02T11:43:00+02:00;1677180_G;25;2;50;freeFlow;1
2025-07-02T11:43:00+02:00;1677184_D;104;7;55;freeFlow;1
2025-07-02T11:43:00+02:00;1677184_G;36;19;52;freeFlow;1
2025-07-02T11:43:00+02:00;1677551_D;36;1;60;freeFlow;1
2025-07-02T11:43:00+02:00;1677551_G;17;3;32;heavy;1
