datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-02T20:43:00+02:00;10273_D;70;10;50;freeFlow;1
2025-07-02T20:43:00+02:00;10273_G;74;10;42;freeFlow;1
2025-07-02T20:43:00+02:00;10274_D;77;8;50;freeFlow;1
2025-07-02T20:43:00+02:00;10274_G;77;8;42;freeFlow;1
2025-07-02T20:43:00+02:00;10275_D;77;13;50;freeFlow;1
2025-07-02T20:43:00+02:00;10275_G;77;13;42;freeFlow;1
2025-07-02T20:43:00+02:00;10277_D;77;20;50;freeFlow;1
2025-07-02T20:43:00+02:00;10277_G;74;21;42;freeFlow;1
2025-07-02T20:43:00+02:00;10279_D;81;12;52;freeFlow;1
2025-07-02T20:43:00+02:00;10279_G;69;15;40;freeFlow;1
2025-07-02T20:43:00+02:00;10281_D;82;17;52;freeFlow;1
2025-07-02T20:43:00+02:00;10281_G;67;21;40;freeFlow;1
2025-07-02T20:43:00+02:00;10315_D;77;7;50;freeFlow;1
2025-07-02T20:43:00+02:00;10315_G;78;7;42;freeFlow;1
2025-07-02T20:43:00+02:00;11579_D;80;3;0;unknown;0
2025-07-02T20:43:00+02:00;11579_G;80;3;27;freeFlow;1
2025-07-02T20:43:00+02:00;11652;62;22;68;heavy;2
2025-07-02T20:43:00+02:00;11654;105;1;60;freeFlow;1
2025-07-02T20:43:00+02:00;11777_D;42;2;45;heavy;1
2025-07-02T20:43:00+02:00;11777_G;29;2;48;heavy;1
2025-07-02T20:43:00+02:00;11781_D;30;3;0;unknown;0
2025-07-02T20:43:00+02:00;11781_G;30;3;30;freeFlow;1
2025-07-02T20:43:00+02:00;11784_D;30;2;0;unknown;0
2025-07-02T20:43:00+02:00;11784_G;34;2;30;freeFlow;1
2025-07-02T20:43:00+02:00;11785_D;30;1;0;unknown;0
2025-07-02T20:43:00+02:00;11785_G;30;1;30;freeFlow;1
2025-07-02T20:43:00+02:00;12060_D;77;9;50;freeFlow;1
2025-07-02T20:43:00+02:00;12060_G;77;9;42;freeFlow;1
2025-07-02T20:43:00+02:00;1242_D;64;2;38;freeFlow;1
2025-07-02T20:43:00+02:00;1242_G;56;2;55;freeFlow;1
2025-07-02T20:43:00+02:00;1285_D;70;1;38;freeFlow;1
2025-07-02T20:43:00+02:00;1285_G;82;1;52;freeFlow;1
2025-07-02T20:43:00+02:00;13514;38;5;17;heavy;1
2025-07-02T20:43:00+02:00;13515;38;4;17;heavy;1
2025-07-02T20:43:00+02:00;13516;80;1;0;unknown;0
2025-07-02T20:43:00+02:00;13549_D;72;5;60;freeFlow;1
2025-07-02T20:43:00+02:00;13549_G;69;5;17;freeFlow;1
2025-07-02T20:43:00+02:00;13557_D;54;7;60;heavy;1
2025-07-02T20:43:00+02:00;13557_G;57;7;17;freeFlow;1
2025-07-02T20:43:00+02:00;14364;106;19;60;freeFlow;1
2025-07-02T20:43:00+02:00;14365;84;24;50;freeFlow;2
2025-07-02T20:43:00+02:00;15029_D;80;31;0;unknown;0
2025-07-02T20:43:00+02:00;15029_G;64;39;57;freeFlow;1
2025-07-02T20:43:00+02:00;15062;64;2;57;freeFlow;1
2025-07-02T20:43:00+02:00;15063;80;2;0;unknown;0
2025-07-02T20:43:00+02:00;15064;80;2;0;unknown;0
2025-07-02T20:43:00+02:00;15065;90;2;60;freeFlow;1
2025-07-02T20:43:00+02:00;15066;90;1;60;freeFlow;1
2025-07-02T20:43:00+02:00;15067_D;75;57;15;freeFlow;1
2025-07-02T20:43:00+02:00;15067_G;85;50;55;freeFlow;1
2025-07-02T20:43:00+02:00;15104_D;74;54;17;freeFlow;1
2025-07-02T20:43:00+02:00;15104_G;80;49;0;unknown;0
2025-07-02T20:43:00+02:00;15111;80;4;35;freeFlow;1
2025-07-02T20:43:00+02:00;15113;47;4;60;heavy;1
2025-07-02T20:43:00+02:00;15114;46;3;60;heavy;1
2025-07-02T20:43:00+02:00;15117;47;3;60;heavy;1
2025-07-02T20:43:00+02:00;15118;44;2;60;heavy;1
2025-07-02T20:43:00+02:00;15119;44;4;60;heavy;1
2025-07-02T20:43:00+02:00;15120;44;4;60;heavy;1
2025-07-02T20:43:00+02:00;15121;80;1;0;unknown;0
2025-07-02T20:43:00+02:00;15122;80;2;0;unknown;0
2025-07-02T20:43:00+02:00;15124_D;48;18;60;heavy;1
